연번,업종명,업소명,소     재     지,전화번호
71,일반음식점,가경골토종순대, 청주시 흥덕구 서경로8번길 10 (가경동 (1층)),
72,일반음식점,일석삼조버섯매운탕, 청주시 흥덕구 장구봉로 12 (가경동 (1층)),
73,일반음식점,인생포차, 청주시 흥덕구 대신로73번길 74 (복대동 (1층)),
74,일반음식점,드림, 청주시 흥덕구 덕암로114번길 67 (봉명동 (3층)),
75,일반음식점,가락우동, 청주시 흥덕구 성봉로 299 (복대동 (1층)),
76,일반음식점,바른생고기, 청주시 흥덕구 서경로12번길 5 (가경동 (1층)),
77,일반음식점,서원해장국, 청주시 흥덕구 가로수로 1346 (복대동 (1층)),
78,일반음식점,투데이(명인점), 청주시 흥덕구 풍년로 26 (가경동 명인투플러스 124호),
79,일반음식점,샤넬식당, 청주시 흥덕구 풍년로 144 (가경동 (5층)),
80,일반음식점,산내들, 청주시 흥덕구 봉정로65번길 7-2 (봉명동 (1층)),
81,일반음식점,청송하생막창, 청주시 흥덕구 백봉로 198-1 (봉명동 (1층)),
82,일반음식점,진부령황태마을, 청주시 흥덕구 풍년로119번길 29-2 (가경동 (1층)),
83,일반음식점,축제, 청주시 흥덕구 오송읍 정중연제로 118-4 (외1필지),
84,일반음식점,닭코치비어선수, 청주시 흥덕구 덕암로114번길 83 (봉명동 (1층)),
85,일반음식점,삼시세끼김밥, 청주시 흥덕구 가경로 9-12 (가경동 외 1필지(101호)),
86,일반음식점,옥탑방봉자봉명점, 청주시 흥덕구 덕암로30번길 32 (봉명동 외 1필지 A동 1층5호),
87,일반음식점,농장영양촌, 청주시 흥덕구 진재로110번길 13 (복대동 (1층)),
88,일반음식점,봉명부속구이, 청주시 흥덕구 1순환로565번길 10 (봉명동 (1층)),
89,일반음식점,미슬토산야초, 청주시 흥덕구 짐대로38번길 7 (복대동 (1층)),
90,일반음식점,더끌림, 청주시 흥덕구 직지대로763번길 31-3 (운천동 (1층)),
91,일반음식점,시온성중화요리, 청주시 흥덕구 서현중로 15 (가경동 (1층)),
92,일반음식점,연촌염소탕본점, 청주시 흥덕구 사운로359번길 24 (신봉동 (1층)),
93,일반음식점,달리다굼, 청주시 흥덕구 봉명로132번길 4 (봉명동 (1층)),
94,일반음식점,시골칼국수, 청주시 흥덕구 복대동 169번지 1호 (1층) ,
95,일반음식점,승천, 청주시 흥덕구 2순환로1124번길 22  105 106호 (비하동  E동),
96,일반음식점,비하참치, 청주시 흥덕구 2순환로1050번길 8-6 (비하동 (2층)),
97,일반음식점,구들짱오겹살, 청주시 흥덕구 서현중로35번길 11 (가경동 (1층)),
98,일반음식점,오렌지, 청주시 흥덕구 봉정로66번길 10 (봉명동 (지하)),
99,일반음식점,우리집돈까스, 청주시 흥덕구 과상미로49번길 6 (봉명동 (1층)),
100,일반음식점,시골소머리국밥, 청주시 흥덕구 오송읍 오송2길 6,
101,일반음식점,충청풋살공원, 청주시 흥덕구 강내면 강내석화1길 37,
102,일반음식점,한우만, 청주시 흥덕구 서부로1168번길 15  1동 1층 (가경동),
103,일반음식점,떡이순이, 청주시 흥덕구 덕암로 57 (봉명동 (1층)),
104,일반음식점,새로나식당, 청주시 흥덕구 풍년로172번길 38-8  1층 (가경동),
105,일반음식점,갈골마당, 청주시 흥덕구 월명로 36 (봉명동 (1층)),
106,일반음식점,삼대째대추나무집, 청주시 흥덕구 서현중로28번길 10 (가경동 (1층)),
107,일반음식점,벤라이브, 청주시 흥덕구 사운로 230 (운천동 (지하1층)),
108,일반음식점,와우돈강마루, 청주시 흥덕구 장구봉로129번길 1 (복대동 (1층)),
109,일반음식점,청담동말자충대정문점, 청주시 흥덕구 내수동로 45 (복대동 (1층)),
110,일반음식점,삼대째손두부, 청주시 흥덕구 죽천로 81 (복대동 (1층)),
111,일반음식점,막창제작소, 청주시 흥덕구 백봉로 187-1  1층 (봉명동),
112,일반음식점,쿠담호프, 청주시 흥덕구 서현북로 78 (가경동 (2층)),
113,일반음식점,어소오송돼지무한리필, 청주시 흥덕구 오송읍 오송생명5로 267-12,
114,일반음식점,놀부부대찌게, 청주시 흥덕구 오송읍 오송생명로 208-8 (일심빌딩 103.104.105호),
115,일반음식점,토방함바전주식백반, 청주시 흥덕구 오송읍 오송생명로 159,
116,일반음식점,고바우, 청주시 흥덕구 오송읍 만수길 31-1  1층,
117,일반음식점,한사발, 청주시 흥덕구 백봉로224번길 10 (봉명동 (1층)),
118,일반음식점,윤가네식당, 청주시 흥덕구 서현중로36번길 16 (가경동 (1층)),
119,일반음식점,물가자미 회무침, 청주시 흥덕구 서현중로36번길 14 (가경동 (1층)),
120,일반음식점,양평장터왕족발, 청주시 흥덕구 복대로190번길 3 (복대동 (1층)),
121,일반음식점,우당한우(봉명)2호점, 청주시 흥덕구 덕암로24번길 54 (봉명동 (1층)),
122,일반음식점,123신수원갈비찜, 청주시 흥덕구 진재로109번길 8 (복대동 (1층)),
123,일반음식점,다성왕족발, 청주시 흥덕구 백봉로 187-1  1층 (봉명동),
124,일반음식점,복대포차, 청주시 흥덕구 풍산로 123-1 (복대동 (1층)),
125,일반음식점,필식당, 청주시 흥덕구 풍년로 110 (가경동 (2층)),
126,일반음식점,(주)캘리스코사보텐청주터미널점, 청주시 흥덕구 풍산로 15  1층 1B-001호 (가경동  일부),
127,일반음식점,대원, 청주시 흥덕구 비하로 27  주건축물제1동 1층 109  110호 (비하동),
128,일반음식점,물망초, 청주시 흥덕구 과상미로10번길 54 (봉명동 (1층)),
129,일반음식점,좋은날출장부페(청주출장부페), 청주시 흥덕구 무심서로 623 (운천동 (지하)),
130,일반음식점,다사랑치킨피자강서점, 청주시 흥덕구 강서로 116 (강서동 (1층)),
131,일반음식점,UJ(유제이)참치, 청주시 흥덕구 진재로 31 (복대동 (1층)),
132,일반음식점,성원찌개마을, 청주시 흥덕구 과상미로9번길 24 (봉명동 (1층)),
133,일반음식점,수제돈까스 하루, 청주시 흥덕구 강서로 85 (강서동 주2동(1층)),
134,일반음식점,금룡, 청주시 흥덕구 대농로 17 (복대동  신영지웰시티 1차 상업지역 205  206호(2층)),
135,일반음식점,막창품은뒷고기, 청주시 흥덕구 사운로 226  1층 (운천동),
136,일반음식점,잘차린밥상, 청주시 흥덕구 풍년로103번길 1-4 (1)층 (가경동),
137,일반음식점,봉추찜닭, 청주시 흥덕구 풍산로 15  1층 (가경동  B-001호(일부)),
138,일반음식점,우경이네한방족발, 청주시 흥덕구 사운로 277  1층 14호 (운천동  세원아파트상가),
139,일반음식점,노블, 청주시 흥덕구 가경동 1479번지 (5) (1층) ,
140,일반음식점,그램그램강서점, 청주시 흥덕구 강서로 115  2층 (강서동),
141,일반음식점,돈드림, 청주시 흥덕구 덕암로114번길 59  1층 (봉명동),
142,일반음식점,육회연가, 청주시 흥덕구 진재로 101  1층 (복대동),
143,일반음식점,할매올갱이해장국, 청주시 흥덕구 풍년로 98-1  1층 (가경동),
144,일반음식점,우리식당, 청주시 흥덕구 흥덕로161번길 20  1층 (운천동  1397),
145,일반음식점,스시루, 청주시 흥덕구 풍산로 15  2층 (가경동  2C-001호(일부)),
146,일반음식점,이가만두, 청주시 흥덕구 사운로 276 (운천동  (1층)),
147,일반음식점,본죽&비빔밥충북오송점, 청주시 흥덕구 오송읍 오송생명로 186 (오송프라자 105호),
148,일반음식점,시골애, 청주시 흥덕구 오송읍 만수길 37-15,
149,일반음식점,가마솥곰탕집, 청주시 흥덕구 오송읍 궁평1길 18,
150,일반음식점,맥주마을, 청주시 흥덕구 오송읍 만수1길 4-1,
151,일반음식점,박여사한식뷔페, 청주시 흥덕구 송화로 42-1  1층 (화계동),
152,일반음식점,버거윈하우스, 청주시 흥덕구 강서동 492번지 1층(104호) ,
153,일반음식점,W.W.B(위스키 와인 비어), 청주시 흥덕구 2순환로1261번길 12  1층 (가경동),
154,일반음식점,삼영부속구이, 청주시 흥덕구 경산로 12 (가경동  (1층)),
155,일반음식점,5.5닭갈비전문점, 청주시 흥덕구 가경로127번길 3  1층 (가경동),
156,일반음식점,소담집, 청주시 흥덕구 증안로54번길 32-1  1층 (복대동),
157,일반음식점,한라산, 청주시 흥덕구 강서로 83-1  2층 (강서동),
158,일반음식점,유엔아이, 청주시 흥덕구 흥덕로161번길 32 (운천동  (1층)),
159,일반음식점,알콜충전ing(아이엔지), 청주시 흥덕구 사운로 263  2층 (운천동),
160,일반음식점,엉터리생고기하복대점, 청주시 흥덕구 2순환로1167번길 4  2층 203 205호 (복대동),
161,일반음식점,숯이닭을만났을때, 청주시 흥덕구 대신로73번길 75  1층 (복대동),
162,일반음식점,마음이따뜻한사람들, 청주시 흥덕구 1순환로536번길 5  2층 (봉명동),
163,일반음식점,김밥이야기, 청주시 흥덕구 덕암로30번길 31  상가동 1층 108호 (봉명동  두진아파트),
164,일반음식점,봉구스밥버거가경2호점, 청주시 흥덕구 장구봉로 68  상가동 1층 110호 (가경동  태암수정),
165,일반음식점,에이치키친전주선비빔/온드린, 청주시 흥덕구 직지대로 308 (복대동  현대백화점충청점(지하1층)),
166,일반음식점,에이치키친 경양식 1985, 청주시 흥덕구 직지대로 308 (복대동  현대백화점충청점(지하1층)),
167,일반음식점,에이치키친 캬베츠 닷뿌리, 청주시 흥덕구 직지대로 308 (복대동  현대백화점충청점(지하1층)),
168,일반음식점,본가스시 충청점, 청주시 흥덕구 직지대로 308  지하1층 (복대동),
169,일반음식점,연탄부락, 청주시 흥덕구 서현중로36번길 6  1층 (가경동),
170,일반음식점,육감식당, 청주시 흥덕구 대신로73번길 81  1층 (복대동),
171,일반음식점,놀부부대찌개&철판구이가경점, 청주시 흥덕구 서현북로 81  1층 102호 (가경동),
172,일반음식점,주식회사 3, 청주시 흥덕구 봉명로 147 (봉명동  (1층)),
173,일반음식점,홍대닭발, 청주시 흥덕구 짐대로50번길 4-6  1층 (복대동),
174,일반음식점,화원각, 청주시 흥덕구 직지대로 161 (지동동  (1층)),
175,일반음식점,야끼정, 청주시 흥덕구 풍산로 15 (가경동  대우 메가폴리스 2B-001 일부(2층)),
176,일반음식점,호향쭈꾸미, 청주시 흥덕구 증안로22번길 33 (복대동  (1층)),
177,일반음식점,올리브, 청주시 흥덕구 2순환로 1004  제1동 2층 (비하동  롯데마트서청주점 푸드코트내),
178,일반음식점,술꾼들, 청주시 흥덕구 2순환로1167번길 4 (복대동  호인리더스빌딩 106호(1층)),
179,일반음식점,이모네칼국수, 청주시 흥덕구 월명로 42 (봉명동  (1층)),
180,일반음식점,선라이브, 청주시 흥덕구 사운로 226 (운천동  (3층)),
181,일반음식점,나드리분식, 청주시 흥덕구 옥산면 청주역로 629,
182,일반음식점,연정, 청주시 흥덕구 강내면 서부로 607,
183,일반음식점,태성반점, 청주시 흥덕구 강내면 서부로 313,
184,일반음식점,청주우동, 청주시 흥덕구 죽천로 96-17 (복대동  (1층)),
185,일반음식점,떡두리, 청주시 흥덕구 가경로149번길 3 (가경동  (1층)),
186,일반음식점,송절가든, 청주시 흥덕구 송화로108번길 2  1층 (송절동),
187,일반음식점,친구사이, 청주시 흥덕구 진재로19번길 14 (복대동  (1층)),
188,일반음식점,또봉이통닭(복대시장점), 청주시 흥덕구 복대동 993번지 덕일아파트 사동 111호(1층) ,
189,일반음식점,달봉이포차, 청주시 흥덕구 덕암로41번길 8 (봉명동  1층),
190,일반음식점,쭈꾸미총각, 청주시 흥덕구 진재로15번길 8 (복대동  (1층)),
191,일반음식점,알리푸드, 청주시 흥덕구 장구봉로 141 (복대동  (1층)),
192,일반음식점,아침정원, 청주시 흥덕구 가로수로 945 (휴암동  외 1필지 가동(1층)),
193,일반음식점,규슈, 청주시 흥덕구 장구봉로 57 (가경동  (1층)),
194,일반음식점,디저트39 청주터미널점, 청주시 흥덕구 강서로 119 (강서동  1층),
195,일반음식점,퓨전우동, 청주시 흥덕구 2순환로1167번길 4 (복대동  호인리더스빌딩 105호(1층)),
196,일반음식점,미쓰족발복대점, 청주시 흥덕구 진재로 91  1층 (복대동),
197,일반음식점,기린푸드, 청주시 흥덕구 사운로 292  성원메디컬빌딩 7층 702호 (운천동),
198,일반음식점,다랭이논 추어탕, 청주시 흥덕구 예체로 171 (봉명동  외 7필지(1층)),
199,일반음식점,이강내, 청주시 흥덕구 강내면 탑연월곡길 86 (두진아파트 103동 103호),
200,일반음식점,SUNNY DAY(써니데이), 청주시 흥덕구 오송읍 오송생명5로 303 (국도푸르미르 101호),
201,일반음식점,구이구이뒷고기, 청주시 흥덕구 오송읍 만수길 16,
202,일반음식점,오송주먹구이, 청주시 흥덕구 오송읍 오송생명로 208-12,
203,일반음식점,카페더비, 청주시 흥덕구 오송읍 연제만수길 50,
204,일반음식점,아시안키친, 청주시 흥덕구 오송읍 오송생명3로 155  1  2층,
205,일반음식점,설 한정식, 청주시 흥덕구 오송읍 연제길 147,
206,일반음식점,청담골, 청주시 흥덕구 오송읍 오송생명로 52  제1동 1층 102 103 104호,
207,일반음식점,쌀떡볶이가족, 청주시 흥덕구 덕암로 61  정수빌 1층 (봉명동),
208,일반음식점,고고라멘, 청주시 흥덕구 대농로 47  2층 209호 (복대동  흥복드림몰),
209,일반음식점,최씨고집 양평해장국, 청주시 흥덕구 2순환로1167번길 13  1층 (복대동),
210,일반음식점,학천진순대본점, 청주시 흥덕구 사직대로 27 (복대동  (1층)),
211,일반음식점,청춘튀겨 지웰점, 청주시 흥덕구 진재로109번길 27  1층 (복대동),
212,일반음식점,모모(MOMO), 청주시 흥덕구 짐대로 65-1  1층 (복대동),
213,일반음식점,하누애, 청주시 흥덕구 진재로23번길 18-4  1층 (복대동),
214,일반음식점,모우펍, 청주시 흥덕구 진재로 101  4층 (복대동),
215,일반음식점,소호오목점, 청주시 흥덕구 성봉로 307  1층 (복대동),
216,일반음식점,국수나무봉명점, 청주시 흥덕구 덕암로114번길 40  1층 105호 (봉명동),
217,일반음식점,골든너겟, 청주시 흥덕구 짐대로50번길 3  4층 (복대동),
218,일반음식점,25카츠, 청주시 흥덕구 대농로 47-1  지하1층 B6호 (복대동  신영지웰시티2차상업시설 상업시설동 주1),
219,일반음식점,봉추찜닭지웰시티점, 청주시 흥덕구 대농로 43  2층 214호 (복대동  신영지웰시티),
220,일반음식점,곤지암 한우 소머리국밥, 청주시 흥덕구 경산로 20  1층 (가경동),
221,일반음식점,이화, 청주시 흥덕구 복대로 122  1층 (복대동),
222,일반음식점,오빠가찜한닭, 청주시 흥덕구 신율로90번길 2  1층 (복대동),
223,일반음식점,치킨플러스, 청주시 흥덕구 진재로9번길 6  1층 (복대동),
224,일반음식점,바르다김선생청주지웰시티점, 청주시 흥덕구 대농로 39  1층 106호 (복대동  LK 트리플렉스 A동 ),
225,일반음식점,왕창상회, 청주시 흥덕구 직지대로668번길 22  1층 (봉명동),
226,일반음식점,석호네닭발, 청주시 흥덕구 봉정로66번길 6  1층 (봉명동),
227,일반음식점,울엄마손만두, 청주시 흥덕구 직지대로639번길 90  1층 (봉명동),
228,일반음식점,삼주외식산업주식회사  오송마루, 청주시 흥덕구 오송읍 오송생명1로 194-41,
229,일반음식점,반올림김밥, 청주시 흥덕구 강내면 월곡길 33  1층 일부호,
230,일반음식점,라리라라라, 청주시 흥덕구 강내면 태성탑연로 256,
231,일반음식점,명인만두(오송점), 청주시 흥덕구 오송읍 오송생명로 200  1층 101-1호,
232,일반음식점,깡스비어, 청주시 흥덕구 오송읍 만수1길 3  101호,
233,일반음식점,로스팅빈, 청주시 흥덕구 오송읍 오송생명3로 183,
234,일반음식점,황제한우곰탕설렁탕, 청주시 흥덕구 강내면 청주역로 179,
235,일반음식점,청담동 말자싸롱(오송만수점), 청주시 흥덕구 오송읍 오송생명로 220,
236,일반음식점,더해피, 청주시 흥덕구 오송읍 만수길 46  1층,
237,일반음식점,남한강, 청주시 흥덕구 오송읍 오송생명3로 151,
238,일반음식점,청담동말자대농지구점, 청주시 흥덕구 진재로110번길 40-1  1층 (복대동),
239,일반음식점,유성닭발, 청주시 흥덕구 진재로 24  1층 (복대동),
240,일반음식점,큐브비어, 청주시 흥덕구 짐대로72번길 41  3층 305호 (복대동),
241,일반음식점,토종흑돼지식당, 청주시 흥덕구 내수동로12번길 6  2층 4호 (복대동  효성아파트상가),
242,일반음식점,돈방석 숯불구이, 청주시 흥덕구 오송읍 연제길 15  1층,
243,일반음식점,푸드엘 피자&돈까스, 청주시 흥덕구 풍년로96번길 7-2  1층 (가경동),
244,일반음식점,더주주(THE 주주), 청주시 흥덕구 증안로 110  1층 102  114호 (복대동  삼일아파트상가동),
245,일반음식점,아주삼삼한육회, 청주시 흥덕구 짐대로72번길 41  1층 110호 (복대동),
246,일반음식점,로마노피자(가경서부점), 청주시 흥덕구 서경로20번길 10  1층 (가경동),
247,일반음식점,이모네분식, 청주시 흥덕구 풍년로172번길 38-2  1층 (가경동),
248,일반음식점,수다퐁당, 청주시 흥덕구 옥산면 옥산시내1길 32-6  1층,
249,일반음식점,마모뜨, 청주시 흥덕구 2순환로1168번길 26  1동 2층 (비하동),
250,일반음식점,산단푸드, 청주시 흥덕구 옥산면 옥산산단1로 11  주건축물제1동 1층,
251,일반음식점,크랩비, 청주시 흥덕구 대농로 70  3층 303호 (복대동),
252,일반음식점,빅스타피자, 청주시 흥덕구 충대로 10  1층 (복대동),
253,일반음식점,팔도락, 청주시 흥덕구 덕암로24번길 36  1층 (봉명동),
254,일반음식점,숯불의 향기, 청주시 흥덕구 풍년로119번길 15-1  1층 (가경동),
255,일반음식점,파인트리, 청주시 흥덕구 대신로38번길 61-2  1층 (복대동),
256,일반음식점,스토리빌, 청주시 흥덕구 진재로15번길 4  6층 (복대동),
257,일반음식점,머리좋은 참치, 청주시 흥덕구 풍년로 26  청주가경지구 명인ll플러스동 1층 102호 (가경동),
258,일반음식점,자연푸드한식뷔페, 청주시 흥덕구 백봉로 257  2층 (봉명동),
259,일반음식점,현우손칼국수, 청주시 흥덕구 장구봉로29번길 4  1층 (가경동),
260,일반음식점,팔도삼파전, 청주시 흥덕구 짐대로50번길 4-6  1층 (복대동),
261,일반음식점,시장통사람들, 청주시 흥덕구 2순환로 1276  1층 (가경동),
262,일반음식점,이루다(ERUDA), 청주시 흥덕구 죽천로 131  1층 (복대동),
263,일반음식점,오송송어촌, 청주시 흥덕구 오송읍 가로수로 180-5  1층,
264,일반음식점,마더맘치킨강내점, 청주시 흥덕구 강내면 탑연월곡길 86-12  월곡아파트상가동 1층 상가1호,
265,일반음식점,주식회사 양달말, 청주시 흥덕구 사직대로 58-1  1층 일부호 (복대동),
266,일반음식점,동북양꼬치, 청주시 흥덕구 충대로 11  2층 (복대동),
267,일반음식점,형제가, 청주시 흥덕구 가로수로1164번길 38-11  1층 (강서동),
268,일반음식점,만원포차, 청주시 흥덕구 경산로 24  1층 (가경동),
269,일반음식점,생선구이민어가, 청주시 흥덕구 과상미로10번길 15  1층 (봉명동),
270,일반음식점,쭈당복대점, 청주시 흥덕구 복대로 136-1 (복대동),
271,일반음식점,불스떡볶이, 청주시 흥덕구 경산로36번길 5  1층 (가경동),
272,일반음식점,24시대포식당, 청주시 흥덕구 백봉로 183  1층 (봉명동),
273,일반음식점,두툼, 청주시 흥덕구 풍산로48번길 13-2  1층 (가경동),
274,일반음식점,브이아이피멤버스(VIP MEMBERS), 청주시 흥덕구 짐대로72번길 54  8층 (복대동),
275,일반음식점,운천삼겹살, 청주시 흥덕구 사운로280번길 25  1층 (운천동),
276,일반음식점,더키횟집, 청주시 흥덕구 덕암로6번길 80  1층 (봉명동),
277,일반음식점,셰프의국수N육개장(지웰시티점), 청주시 흥덕구 대농로 43  상업시설동 1층 134호 (복대동  지웰시티1차),
278,일반음식점,Juice Raw(주스로), 청주시 흥덕구 대농로 43  상업시설동 지하1층 25호 (복대동  지웰시티1차상가),
279,일반음식점,씨케이뉴욕바닷가재, 청주시 흥덕구 강내면 태성탑연로 454  주1동 1층,
280,일반음식점,어부, 청주시 흥덕구 강서로 101  1층 (강서동  주산휴네스트 104호),
281,일반음식점,모로미식당(청주봉명점), 청주시 흥덕구 백봉로183번길 5  1층 (봉명동),
282,일반음식점,온가족냉삼집, 청주시 흥덕구 진재로 91  1층 (복대동  신창빌딩103호),
283,일반음식점,병천토종순대수육국밥, 청주시 흥덕구 서현중로35번길 21  1층 (가경동),
284,일반음식점,석호네닭발(비하점), 청주시 흥덕구 비하로18번길 10  1층 103호 (비하동  힐즈오피스텔),
